,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0007610,"('Judge Brand', 'actor')","('Tom Reeves - aka Tom Robbins', 'actor')","('J. Gordon Castle', 'actor')","('Ma Bobbett', 'actress')","('Ezra Pa Bobbett', 'actor')","(""'Gentleman Jim' Raynor"", 'actor')","('Peggy Bobbett', 'actress')",,,,,,,,,,,
0007755,"('Cheyenne Harry', 'actor')","('Helen Clayton', 'actress')","('Ben Clayton', 'actor')","('Eugene Thornton', 'actor')",,,,,,,,,,,,,,
0007801,"('Cleopatra', 'actress')","('Caesar', 'actor')","('Antony', 'actor')","('Pharon', 'actor')",,,,,,,,,,,,,,
0007983,"('Graf Greven', 'actor')","('Indian Priest', 'actor')",,,,,,,,,,,,,,,,
0008011,"('Kenneth Driscoll', 'actor')","('Mary Baker', 'actress')","('Vivian Carleton', 'actress')","('Mrs. Baker', 'actress')","('Johnny Applebloom', 'actor')","('Hank', 'actor')",,,,,,,,,,,,
0008100,"('Avanti Planetaros - Captain of the Space Ship', 'actor')","(""Corona - Avanti's Sister"", 'actress')","('Prof. Planetaros - Astronomer', 'actor')","(""Dr. Krafft - Avanti's Friend"", 'actor')",,,,,,,,,,,,,,
0008150,"(""Jeanne d'Arc (Joan of Arc)"", 'actress')","('Charles VII', 'actor')","('Gen. La Hire', 'actor')","('Cauchon', 'actor')",,,,,,,,,,,,,,
0008188,"('Angela Moore', 'actress')","('Karl von Austreim', 'actor')","('Count Jules de Destin', 'actor')","('German Colonel', 'actor')",,,,,,,,,,,,,,
0008196,"('Sara Crewe', 'actress')","('Capt. Richard Crewe', 'actor')","('Miss Minchin', 'actress')","('Amelia Minchin', 'actress')",,,,,,,,,,,,,,
0008279,"('Manon Berliac', 'actress')","('Emile Berliac', 'actor')","('François Rolland', 'actor')","('Jean', 'actor')","('Jean Dormis', 'actor')",,,,,,,,,,,,,
0008309,"('Ned Thacker', 'actor')","(""D'Artagnan"", 'actor')","('Elsie Dodge', 'actress')","('Mrs. Dodge', 'actress')","('Forrest Vandeteer', 'actor')","('Mrs. Thacker', 'actress')","('Chin-de-dah', 'actor')",,,,,,,,,,,
0008395,"('Prince Kasatsky, later Father Sergius', 'actor')","('Countess Korotkova', 'actress')","('Maria - her daughter', 'actress')","('Czar Nikolai I', 'actor')",,,,,,,,,,,,,,
0008443,"(""Gwendolyn 'Gwen'"", 'actress')","(""Gwendolyn's Mother"", 'actress')","(""Gwendolyn's Father"", 'actor')","('Jane', 'actress')",,,,,,,,,,,,,,
0008489,"('A.J. Raffles', 'actor')","('Mrs. Vidal', 'actress')","('Lord Amersteth', 'actor')","('Bunny Manders', 'actor')","('Crawley', 'actor')",,,,,,,,,,,,,
